[INFO] [1789702446.551035632] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.656062598] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.697767517] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.761697024] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.864904578] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702446.908727730] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702447.002948831] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702447.138929643] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702447.141002830] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702447.180684091] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702447.284813585] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702447.327072986] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702447.454915764] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702447.533416192] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702447.656528474] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702447.658973810] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702447.709244426] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702447.811777135] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702447.855063720] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702447.983031106] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702448.024604669] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702448.127746944] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702448.166313249] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702448.292716715] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.47
[INFO] [1789702448.334692754] [task_manager_node]: Manipulation feedback: phase=RELEASING, progress=0.65
[INFO] [1789702448.494166155] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.71
[INFO] [1789702448.555596968] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.76
[INFO] [1789702448.639384804] [task_manager_node]: Manipulation feedback: phase=INSERTING, progress=0.76
[INFO] [1789702448.765098387] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.82
[INFO] [1789702448.842528620] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.82
[INFO] [1789702449.003861075] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.88
[INFO] [1789702449.043690114] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.88
[INFO] [1789702449.186273973] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.88
[INFO] [1789702449.190477300] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.88
[INFO] [1789702449.263705312] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.88
