book,board_z_world,gz_arm,gy_arm,base_y_equiv_world,code,err,min_all,min_all_seg,min_all_joint,min_insert,min_insert_seg,min_insert_joint,m_approach,m_down,m_lift,m_carry_rotate,m_wedge,m_back,m_touch,m_push,m_retreat,m_return,branch_down
over_01_cover58_01,0.598,0.4399,0.5895,-3.0590,0,"",0.1281,approach,1,0.1588,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1588,0.1889,0.1889,0.1957,0.1672,0.1291,0
over_01_cover58_01,0.598,0.4399,0.5945,-3.0640,0,"",0.1281,approach,1,0.1656,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1656,0.1953,0.1953,0.2020,0.1745,0.1291,0
over_01_cover58_01,0.598,0.4399,0.5995,-3.0690,0,"",0.1281,approach,1,0.1736,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1736,0.2028,0.2028,0.2094,0.1813,0.1291,0
over_01_cover58_01,0.598,0.4399,0.6045,-3.0740,0,"",0.1281,approach,1,0.1818,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1818,0.2104,0.2104,0.2168,0.1896,0.1291,0
over_01_cover58_01,0.598,0.4399,0.6095,-3.0790,0,"",0.1281,approach,1,0.1900,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1900,0.2186,0.2186,0.2249,0.1979,0.1291,0
over_01_cover58_01,0.598,0.4399,0.6145,-3.0840,0,"",0.1281,approach,1,0.1876,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1876,0.2151,0.2151,0.2216,0.1948,0.1291,0
over_01_cover58_01,0.598,0.4399,0.6195,-3.0890,0,"",0.1281,approach,1,0.1847,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1847,0.2117,0.2117,0.2182,0.1916,0.1291,0
over_01_cover58_01,0.598,0.4399,0.6245,-3.0940,0,"",0.1281,approach,1,0.1819,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1819,0.2085,0.2085,0.2149,0.1890,0.1291,0
over_01_cover58_01,0.598,0.4399,0.6295,-3.0990,0,"",0.1281,approach,1,0.1789,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1789,0.2046,0.2046,0.2112,0.1852,0.1291,0
over_01_cover58_01,0.598,0.4399,0.6345,-3.1040,0,"",0.1281,approach,1,0.1759,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1759,0.2011,0.2011,0.2076,0.1823,0.1291,0
over_01_cover58_01,0.598,0.4399,0.6395,-3.1090,0,"",0.1281,approach,1,0.1731,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1731,0.1979,0.1979,0.2045,0.1793,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5195,-2.9890,0,"",-0.0009,wedge,6,-0.0009,wedge,6,0.1281,0.1281,0.1288,0.1291,-0.0009,0.0736,0.1207,0.0613,0.0603,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5245,-2.9940,0,"",-0.0008,wedge,6,-0.0008,wedge,6,0.1281,0.1281,0.1288,0.1291,-0.0008,0.0008,0.0692,-0.0005,0.1015,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5295,-2.9990,0,"",-0.0008,wedge,6,-0.0008,wedge,6,0.1281,0.1281,0.1288,0.1291,-0.0008,0.0811,0.1115,0.0723,0.0707,0.1291,0
